tstamp	latitude	longitude	direction	speed	trip_id	trip_id	route_id	vehicle_id	service_key	direction
2020-10-11 09:10:41	45.558793	-122.564288	97	4.47388	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:10:46	45.558605	-122.564162	155	8.94776	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:21	45.558545	-122.564128	159	0	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:26	45.558423	-122.563993	142	6.71082	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:31	45.558485	-122.563598	77	13.42164	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:36	45.55874	-122.56297	60	24.60634	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:41	45.559012	-122.562248	62	26.84328	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:46	45.559368	-122.561755	44	24.60634	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:51	45.55978	-122.561372	33	22.3694	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:11:56	45.560285	-122.561005	27	26.84328	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:01	45.561043	-122.560925	4	38.02798	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:06	45.561978	-122.560765	7	44.7388	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:11	45.562812	-122.560073	30	46.97574	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:16	45.563562	-122.559147	41	46.97574	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:21	45.564323	-122.558198	41	49.21268	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:26	45.565108	-122.557172	42	51.44962	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:31	45.565935	-122.556075	43	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:36	45.566772	-122.55497	43	55.9235	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:41	45.567608	-122.553867	43	55.9235	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:46	45.5684	-122.552818	43	51.44962	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:51	45.56921	-122.551752	43	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:12:56	45.570013	-122.550697	43	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:01	45.570848	-122.54963	42	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:06	45.571697	-122.548625	40	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:11	45.572573	-122.547685	37	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:16	45.573502	-122.546817	33	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:21	45.574465	-122.546053	29	53.68656	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:26	45.57548	-122.545323	27	55.9235	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:31	45.576565	-122.544713	21	55.9235	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:36	45.577722	-122.544198	17	58.16044	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:41	45.57895	-122.543807	13	62.63432	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:46	45.580225	-122.543552	8	62.63432	170053925	170053925	65	4013	Sunday	Out
2020-10-11 09:13:51	45.581497	-122.543442	3	62.63432	170053925	170053925	65	4013	Sunday	Out
